Name,Family,Where Found,Harmful to Humans
Escherichia coli,Enterobacteriaceae,Intestinal tract,Yes
Staphylococcus aureus,Staphylococcaceae,"Skin, nasal passages",Yes
Lactobacillus acidophilus,Lactobacillaceae,Human mouth & intestine,No
Bacillus subtilis,Bacillaceae,Soil,No
Clostridium botulinum,Clostridiaceae,"Soil, improperly canned foods",Yes
Streptococcus pneumoniae,Streptococcaceae,"Throat, nasal passages",Yes
Pseudomonas aeruginosa,Pseudomonadaceae,"Soil, water, skin flora",Yes
Mycobacterium tuberculosis,Mycobacteriaceae,Lungs,Yes
Vibrio cholerae,Vibrionaceae,Contaminated water,Yes
Salmonella enterica,Enterobacteriaceae,Intestinal tract,Yes
Helicobacter pylori,Helicobacteraceae,Stomach lining,Yes
Neisseria gonorrhoeae,Neisseriaceae,Genitourinary tract,Yes
Lactococcus lactis,Streptococcaceae,"Milk, plants",No
Bacteroides fragilis,Bacteroidaceae,Gastrointestinal tract,No
Campylobacter jejuni,Campylobacteraceae,Intestinal tract,Yes
Listeria monocytogenes,Listeriaceae,"Soil, water",Yes
Acetobacter aceti,Acetobacteraceae,"Fruits, vinegar",No
Streptococcus mutans,Streptococcaceae,Human mouth,Yes
Propionibacterium acnes,Propionibacteriaceae,Skin,No
Bifidobacterium bifidum,Bifidobacteriaceae,Intestinal tract,No
Clostridium difficile,Clostridiaceae,Intestinal tract,Yes
Legionella pneumophila,Legionellaceae,Water systems,Yes
Borrelia burgdorferi,Spirochaetaceae,Tick-infested areas,Yes
Treponema pallidum,Spirochaetaceae,Human body,Yes
Chlamydia trachomatis,Chlamydiaceae,Human genitourinary tract,Yes
Mycoplasma pneumoniae,Mycoplasmataceae,Respiratory tract,Yes
Streptococcus pyogenes,Streptococcaceae,"Throat, skin",Yes
Haemophilus influenzae,Pasteurellaceae,Respiratory tract,Yes
Leptospira interrogans,Leptospiraceae,Water contaminated by animal urine,Yes
Streptococcus agalactiae,Streptococcaceae,Intestinal and genitourinary tracts,Yes
Shigella dysenteriae,Enterobacteriaceae,Intestinal tract,Yes
Enterococcus faecalis,Enterococcaceae,Human gut,No
Corynebacterium diphtheriae,Corynebacteriaceae,Throat,Yes
Klebsiella pneumoniae,Enterobacteriaceae,"Mouth, skin, intestines",Yes
Rickettsia rickettsii,Rickettsiaceae,Tick-infested areas,Yes
Serratia marcescens,Enterobacteriaceae,"Soil, water, intestines",No
Proteus mirabilis,Enterobacteriaceae,Intestinal tract,No
Gardnerella vaginalis,Bifidobacteriaceae,Genitourinary tract,Yes
Francisella tularensis,Francisellaceae,"Infected animals, water",Yes
Yersinia pestis,Enterobacteriaceae,Infected fleas,Yes
Clostridium perfringens,Clostridiaceae,"Soil, intestines",Yes
Staphylococcus epidermidis,Staphylococcaceae,Skin,No
Actinomyces israelii,Actinomycetaceae,"Mouth, throat",No
Fusobacterium nucleatum,Fusobacteriaceae,"Mouth, throat",No
Brucella abortus,Brucellaceae,Infected animals,Yes
Coxiella burnetii,Coxiellaceae,Infected animals,Yes
Streptococcus salivarius,Streptococcaceae,"Human mouth, throat",No
Streptomyces coelicolor,Streptomycetaceae,Soil,No
Rhodobacter sphaeroides,Rhodobacteraceae,"Freshwater, marine environments",No
Caulobacter crescentus,Caulobacteraceae,Freshwater,No
Anabaena sp.,Nostocaceae,Freshwater environments,No
Nitrosomonas europaea,Nitrosomonadaceae,"Soil, water",No
Rhizobium leguminosarum,Rhizobiaceae,Root nodules of legumes,No
Agrobacterium tumefaciens,Rhizobiaceae,Plant tissues,Yes
Bordetella pertussis,Alcaligenaceae,Respiratory tract,Yes
Coxiella burnetii,Coxiellaceae,Infected animals,Yes
Dermatophilus congolensis,Dermatophilaceae,Animal skin,Yes
Ehrlichia chaffeensis,Anaplasmataceae,White-tailed deer,Yes
Francisella tularensis,Francisellaceae,"Infected animals, water",Yes
Gardnerella vaginalis,Bifidobacteriaceae,Genitourinary tract,Yes
Haemophilus ducreyi,Pasteurellaceae,Human skin,Yes
Ignatzschineria indica,Ignatzschineriaceae,Infected wounds,Yes
Janthinobacterium lividum,Oxalobacteraceae,"Soil, water",No
Klebsiella oxytoca,Enterobacteriaceae,Intestinal tract,No
Legionella longbeachae,Legionellaceae,Soil,Yes
Moraxella catarrhalis,Moraxellaceae,Respiratory tract,Yes
Neisseria meningitidis,Neisseriaceae,Respiratory tract,Yes
Ochrobactrum anthropi,Brucellaceae,"Soil, water",No
Pasteurella multocida,Pasteurellaceae,Animal respiratory tracts,Yes
Q fever agent (Coxiella burnetii),Coxiellaceae,Infected animals,Yes
Rickettsia prowazekii,Rickettsiaceae,Body lice,Yes
Serratia liquefaciens,Enterobacteriaceae,"Soil, water",No
Thermus aquaticus,Deinococcaceae,Hot springs,No
Ureaplasma urealyticum,Mycoplasmataceae,Human urogenital tract,Yes
Variovorax paradoxus,Comamonadaceae,Soil,No
Wolbachia sp.,Rickettsiaceae,Arthropods,No
Xanthomonas campestris,Xanthomonadaceae,Plants,No
Yersinia enterocolitica,Enterobacteriaceae,Intestinal tract,Yes
Zymomonas mobilis,Sphingomonadaceae,Sugary environments,No
Aeromonas hydrophila,Aeromonadaceae,Freshwater,Yes
Bifidobacterium longum,Bifidobacteriaceae,Intestinal tract,No
Citrobacter freundii,Enterobacteriaceae,Intestinal tract,No
Desulfovibrio vulgaris,Desulfovibrionaceae,"Soil, water",No
Enterobacter aerogenes,Enterobacteriaceae,Intestinal tract,No
Flavobacterium columnare,Flavobacteriaceae,Freshwater,Yes
Geobacter sulfurreducens,Geobacteraceae,Soil,No
Halomonas elongata,Halomonadaceae,Salty environments,No
Idiomarina loihiensis,Idiomarinaceae,Deep-sea environments,No
Jannaschia sp.,Rhodobacteraceae,Marine environments,No
Kocuria rhizophila,Micrococcaceae,Soil,No
Lysinibacillus sphaericus,Bacillaceae,Soil,No
Micrococcus luteus,Micrococcaceae,"Skin, environment",No
Nocardia asteroides,Nocardiaceae,Soil,Yes
Oceanospirillum linum,Oceanospirillaceae,Marine environments,No
Pantoea agglomerans,Enterobacteriaceae,"Plants, soil",No
Acidithiobacillus ferrooxidans,Acidithiobacillaceae,"Acidic, sulfidic environments",No
Alcaligenes faecalis,Alcaligenaceae,"Soil, water, human feces",No
Bdellovibrio bacteriovorus,Bdellovibrionaceae,Predatory on other bacteria,No
Burkholderia cepacia,Burkholderiaceae,"Soil, water, rhizosphere",Yes
Caldicellulosiruptor bescii,Clostridiaceae,Hot springs,No
Deinococcus radiodurans,Deinococcaceae,Radioactive environments,No
Enterococcus durans,Enterococcaceae,Human and animal intestines,No
Flavobacterium psychrophilum,Flavobacteriaceae,"Freshwater, cold environments",Yes
Gluconobacter oxydans,Acetobacteraceae,"Fruits, flowers",No
Halobacterium salinarum,Halobacteriaceae,Salt lakes,No
Isoptericola variabilis,Promicromonosporaceae,Soil,No
Janibacter hoylei,Intrasporangiaceae,High-altitude air,No
Kytococcus sedentarius,Micrococcaceae,Human skin,Yes
Leuconostoc mesenteroides,Leuconostocaceae,"Plants, fermented foods",No
Methanobrevibacter smithii,Methanobacteriaceae,Human and animal guts,No
Nitrobacter winogradskyi,Nitrobacteraceae,"Soil, water",No
Oenococcus oeni,Leuconostocaceae,"Wine, fermented beverages",No
Prevotella intermedia,Prevotellaceae,Human oral cavity,Yes
Quinella ovalis,Lachnospiraceae,Ruminant gut,No
Rhodococcus fascians,Nocardiaceae,Plants,Yes
Sphingomonas wittichii,Sphingomonadaceae,"Soil, water",No
Thioalkalivibrio sulfidiphilus,Ectothiorhodospiraceae,"Alkaline, sulfidic environments",No
Ureibacillus thermosphaericus,Bacillaceae,Hot compost,No
Veillonella parvula,Veillonellaceae,Human and animal mouths,No
Xenorhabdus nematophila,Enterobacteriaceae,Symbiotic with nematodes,Yes
Yokenella regensburgei,Enterobacteriaceae,"Environment, occasionally human samples",Yes
Zooglea ramigera,Zoogloeaceae,Wastewater treatment systems,No
Aeromonas salmonicida,Aeromonadaceae,Fish,Yes
Brevundimonas diminuta,Caulobacteraceae,"Water, environment",No
Chryseobacterium indologenes,Flavobacteriaceae,"Water, soil",Yes
Dyadobacter fermentans,Cytophagaceae,"Soil, plant roots",No
Exiguobacterium sibiricum,Bacillaceae,Cold environments,No
Frankia alni,Frankiaceae,Root nodules of alder trees,No
Gordonia bronchialis,Tsukamurellaceae,"Soil, human respiratory tract",Yes
Hydrogenophaga pseudoflava,Comamonadaceae,"Water, soil",No
Inquilinus limosus,Burkholderiaceae,Human respiratory tract,Yes
Jonesia denitrificans,Actinomycetaceae,Soil,No
Klebsiella variicola,Enterobacteriaceae,"Plant surfaces, human gut",No
Lelliottia amnigena,Enterobacteriaceae,"Water, soil, human gut",No
Methylobacterium extorquens,Methylobacteriaceae,"Soil, plants",No
Nocardiopsis dassonvillei,Nocardiopsaceae,Soil,Yes
Opitutus terrae,Opitutaceae,Soil,No
Pseudonocardia dioxanivorans,Pseudonocardiaceae,Soil,Yes
Roseomonas gilardii,Rhodospirillaceae,"Water, human clinical samples",Yes
Stenotrophomonas maltophilia,Xanthomonadaceae,"Soil, water, human clinical samples",Yes
Tropheryma whipplei,Tropherymataceae,Human intestine,Yes
Ureaplasma urealyticum, Mycoplasmataceae, Human urogenital tract, Yes
Achromobacter xylosoxidans,Alcaligenaceae,"Water, soil",Yes
Alloiococcus otitidis,Staphylococcaceae,Human ear,No
Azospirillum brasilense,Rhodospirillaceae,"Soil, roots of plants",No
Bartonella henselae,Bartonellaceae,"Infected cats, cat fleas",Yes
Bifidobacterium adolescentis,Bifidobacteriaceae,Human intestine,No
Campylobacter lari,Campylobacteraceae,"Wild birds, domestic animals",Yes
Capnocytophaga canimorsus,Flavobacteriaceae,Dog and cat saliva,Yes
Carnobacterium maltaromaticum,Carnobacteriaceae,Food products,No
Chromobacterium violaceum,Chromobacteriaceae,"Soil, water",Yes
Clavibacter michiganensis,Corynebacteriaceae,Plants,Yes
Corynebacterium striatum,Corynebacteriaceae,Human skin,Yes
Desulfitobacterium hafniense,Peptococcaceae,"Soil, sediment",No
Eikenella corrodens,Neisseriaceae,"Human mouth, upper respiratory tract",Yes
Facklamia hominis,Carnobacteriaceae,Human urogenital and respiratory tracts,No
Gallionella ferruginea,Gallionellaceae,"Freshwater, iron-rich environments",No
Hafnia alvei,Enterobacteriaceae,Intestinal tracts of humans and animals,Yes
Iodobacter fluviatile,Comamonadaceae,Freshwater,No
Kingella kingae,Neisseriaceae,Human oropharynx,Yes
Lachnoclostridium phytofermentans,Lachnospiraceae,Soil,No
Leclercia adecarboxylata,Enterobacteriaceae,"Soil, water, human clinical samples",Yes
Mannheimia haemolytica,Pasteurellaceae,Respiratory tract of cattle,Yes
Nocardia brasiliensis,Nocardiaceae,Soil,Yes
Oligella urethralis,Alcaligenaceae,Human urogenital tract,Yes
Paenibacillus polymyxa,Paenibacillaceae,"Soil, root nodules",No
Paracoccus denitrificans,Rhodobacteraceae,"Soil, water",No
Ralstonia solanacearum,Ralstoniaceae,"Soil, plants",Yes
Sanguibacter keddieii,Propionibacteriaceae,Dairy products,No
Tannerella forsythia,Bacteroidaceae,Human oral cavity,Yes
Unidentified Bacillus sp.,Bacillaceae,Various environments,No
Vagococcus fluvialis,Enterococcaceae,"Water, fish",Yes
Weissella confusa,Leuconostocaceae,"Fermented foods, human clinical samples",Yes
Xylella fastidiosa,Xanthomonadaceae,Plants,Yes
Yersinia ruckeri,Enterobacteriaceae,Fish,Yes
Zoogloea ramigera,Zoogloeaceae,Wastewater treatment systems,No
Acetobacter pasteurianus,Acetobacteraceae,Fermented beverages,No
Brevibacillus brevis,Bacillaceae,Soil,No
Curtobacterium flaccumfaciens,Corynebacteriaceae,Plants,Yes
Dysgonomonas gadei,Bacteroidaceae,Human gut,No
Empedobacter brevis,Flavobacteriaceae,"Water, soil, human clinical samples",Yes
Fusobacterium nucleatum,Fusobacteriaceae,Human oral cavity,Yes
Gemella haemolysans,Gemellaceae,Human mucous membranes,No
Helcococcus kunzii,Aerococcaceae,"Human skin, wounds",Yes
Ignavigranum ruoffiae,Planococcaceae,Marine environments,No
Jonesia quinghaiensis,Listeriaceae,"Soil, water",No
Kluyvera ascorbata,Enterobacteriaceae,"Environment, human gut",No
Lysobacter enzymogenes,Xanthomonadaceae,Soil,No
Megasphaera elsdenii,Veillonellaceae,Animal intestines,No
Neorickettsia sennetsu,Anaplasmataceae,Infected fish,Yes
Novosphingobium aromaticivorans,Sphingomonadaceae,"Soil, water",No
Ornithinibacillus scapharcae,Bacillaceae,Marine environments,No
Pirellula staleyi,Planctomycetaceae,Freshwater environments,No
Quatrococcus ludwigii,Micrococcaceae,Human skin,No
Rathayibacter toxicus,Microbacteriaceae,Infected grasses,Yes
Simonsiella muelleri,Simonsiellaceae,Animal mucous membranes,No
Tepidimonas arfidensis,Comamonadaceae,Thermal springs,No
Ulvibacter litoralis,Flavobacteriaceae,Marine environments,No
Vibrio vulnificus,Vibrionaceae,Marine environments,Yes
